age,income_lakh,credit_score,loan_amount_lakh,existing_loans,approved
43.0,5.13,778.0,4.81,0.0,1
28.0,17.81,624.0,3.8,1.0,1
63.0,4.03,721.0,18.21,1.0,0
50.0,6.18,506.0,5.67,3.0,0
64.0,7.13,552.0,12.13,2.0,0
35.0,22.7,693.0,11.74,1.0,1
25.0,21.72,827.0,13.64,1.0,1
34.0,6.02,705.0,12.63,1.0,0
28.0,12.38,493.0,23.08,2.0,0
24.0,22.95,831.0,24.4,2.0,1
61.0,17.8,704.0,29.84,0.0,1
43.0,19.11,496.0,,4.0,1
39.0,17.59,755.0,16.36,0.0,1
24.0,10.22,662.0,3.88,4.0,1
46.0,10.5,570.0,12.13,2.0,1
22.0,19.72,841.0,17.39,4.0,1
37.0,12.32,772.0,5.37,3.0,1
57.0,17.87,721.0,13.56,3.0,1
36.0,19.47,560.0,15.14,4.0,1
37.0,3.93,646.0,4.02,3.0,0
44.0,7.3,487.0,21.85,3.0,0
27.0,9.15,830.0,14.77,3.0,1
41.0,13.68,591.0,24.1,0.0,1
25.0,21.45,783.0,28.85,3.0,1
52.0,6.07,800.0,10.97,3.0,0
25.0,20.77,806.0,25.83,0.0,1
56.0,7.74,458.0,17.57,2.0,0
51.0,8.38,500.0,9.93,2.0,1
42.0,21.73,791.0,27.06,3.0,1
49.0,2.14,557.0,21.91,2.0,0
36.0,14.45,659.0,8.05,4.0,1
57.0,8.85,720.0,10.54,2.0,1
47.0,9.37,643.0,21.74,2.0,0
28.0,16.68,508.0,15.86,4.0,1
46.0,10.03,699.0,16.66,4.0,0
21.0,9.94,805.0,20.38,3.0,0
28.0,17.18,799.0,4.42,4.0,1
58.0,19.35,669.0,11.23,0.0,1
50.0,8.9,710.0,12.81,0.0,1
47.0,19.12,506.0,23.31,3.0,1
62.0,7.82,819.0,28.85,1.0,0
37.0,21.5,810.0,17.01,2.0,1
35.0,11.74,843.0,21.43,1.0,1
55.0,11.39,836.0,19.43,2.0,1
56.0,15.71,641.0,8.67,0.0,1
56.0,20.5,680.0,27.57,2.0,1
62.0,23.82,768.0,27.29,1.0,1
38.0,23.7,738.0,20.56,4.0,1
36.0,13.06,581.0,21.91,1.0,1
,8.61,744.0,28.93,4.0,0
54.0,16.75,517.0,29.86,2.0,0
58.0,6.66,767.0,17.61,3.0,0
50.0,10.5,667.0,29.31,4.0,0
58.0,20.82,812.0,26.19,3.0,1
41.0,17.4,825.0,29.88,0.0,1
45.0,7.23,779.0,18.59,3.0,0
52.0,6.33,487.0,13.14,2.0,0
38.0,15.98,519.0,9.4,3.0,1
32.0,17.9,834.0,25.39,4.0,1
63.0,7.26,510.0,25.34,2.0,0
54.0,5.25,552.0,3.62,2.0,1
48.0,20.62,584.0,18.9,0.0,1
41.0,24.6,679.0,23.65,4.0,1
56.0,14.18,697.0,14.42,4.0,1
26.0,20.15,498.0,5.86,3.0,1
41.0,2.71,647.0,5.47,0.0,1
26.0,18.32,483.0,6.01,1.0,1
39.0,19.57,525.0,3.97,4.0,1
63.0,6.19,635.0,10.17,0.0,1
64.0,11.77,750.0,24.19,3.0,0
63.0,11.57,488.0,15.89,1.0,1
33.0,21.27,521.0,6.03,3.0,1
39.0,14.13,559.0,29.69,1.0,0
42.0,4.76,459.0,18.5,2.0,0
32.0,23.62,597.0,15.44,0.0,1
43.0,23.81,537.0,29.15,3.0,1
44.0,15.56,457.0,2.43,3.0,1
61.0,9.3,542.0,18.82,2.0,0
30.0,24.39,638.0,18.89,4.0,1
53.0,18.4,812.0,13.27,1.0,1
21.0,23.34,733.0,25.98,0.0,1
31.0,14.5,504.0,3.35,3.0,1
64.0,20.94,750.0,1.14,4.0,1
28.0,16.43,498.0,15.93,0.0,1
60.0,19.07,571.0,18.53,2.0,1
60.0,10.51,542.0,15.68,2.0,1
62.0,11.65,741.0,5.39,3.0,1
33.0,24.78,,23.0,1.0,1
44.0,21.94,658.0,21.27,0.0,1
41.0,2.51,683.0,19.49,1.0,0
44.0,8.36,534.0,2.27,0.0,1
40.0,18.39,568.0,12.74,0.0,1
53.0,6.3,634.0,25.88,4.0,0
59.0,14.89,594.0,21.57,0.0,1
62.0,15.23,557.0,1.95,1.0,1
,16.44,715.0,4.6,0.0,1
29.0,3.29,546.0,4.2,1.0,0
30.0,22.97,568.0,2.72,2.0,1
36.0,4.1,623.0,5.51,3.0,0
37.0,2.84,661.0,9.1,4.0,0
31.0,7.3,456.0,25.69,2.0,0
62.0,-5.0,687.0,6.7,1.0,1
28.0,8.05,742.0,15.53,3.0,0
48.0,6.33,639.0,22.6,3.0,0
41.0,11.0,769.0,15.01,2.0,1
33.0,,616.0,18.77,2.0,1
47.0,11.7,715.0,25.99,4.0,0
28.0,21.42,813.0,18.52,4.0,1
58.0,12.42,562.0,3.76,2.0,1
35.0,24.37,764.0,29.22,4.0,1
56.0,18.45,751.0,17.13,3.0,1
24.0,19.17,622.0,14.12,4.0,1
31.0,,691.0,29.8,3.0,1
30.0,12.69,715.0,15.37,1.0,1
37.0,23.48,762.0,12.88,1.0,1
41.0,21.55,459.0,5.22,3.0,1
43.0,18.47,787.0,22.92,3.0,1
58.0,18.54,566.0,1.7,1.0,1
60.0,10.3,683.0,6.14,3.0,1
49.0,20.56,491.0,24.33,3.0,1
,24.55,660.0,6.49,4.0,1
41.0,6.79,746.0,27.18,0.0,0
60.0,10.35,639.0,2.97,3.0,1
22.0,18.62,663.0,29.96,4.0,1
54.0,17.36,709.0,23.97,2.0,1
37.0,13.43,775.0,16.73,2.0,1
51.0,22.4,502.0,21.56,0.0,1
39.0,2.75,630.0,6.47,4.0,0
59.0,14.89,594.0,21.57,0.0,1
46.0,8.82,623.0,9.25,2.0,1
48.0,11.15,464.0,19.06,1.0,0
52.0,13.34,556.0,3.03,1.0,1
56.0,1.73,677.0,10.07,2.0,0
50.0,19.4,462.0,11.07,0.0,1
29.0,15.16,664.0,10.28,3.0,1
27.0,8.69,496.0,15.83,4.0,0
29.0,10.31,738.0,19.09,2.0,1
54.0,15.5,537.0,19.09,2.0,1
42.0,16.48,693.0,22.63,3.0,1
33.0,21.65,848.0,5.15,0.0,1
23.0,9.79,593.0,4.42,1.0,1
37.0,2.15,549.0,15.42,3.0,0
39.0,8.78,771.0,24.17,1.0,0
51.0,2.58,704.0,4.25,0.0,1
38.0,13.74,673.0,27.6,2.0,0
34.0,21.82,708.0,12.08,2.0,1
57.0,20.93,485.0,25.89,1.0,1
32.0,23.53,760.0,3.95,1.0,1
24.0,21.9,650.0,18.06,3.0,1
28.0,14.49,632.0,28.16,4.0,0
29.0,9.14,651.0,16.04,3.0,0
34.0,2.75,555.0,15.21,1.0,0
35.0,20.34,539.0,18.95,3.0,1
64.0,15.01,665.0,13.81,3.0,1
60.0,23.36,798.0,16.99,0.0,1
58.0,9.67,540.0,14.14,0.0,1
44.0,9.23,469.0,7.95,4.0,0
50.0,17.68,582.0,2.62,0.0,1
42.0,18.47,743.0,1.3,4.0,1
41.0,8.35,774.0,15.55,3.0,0
25.0,17.77,719.0,20.0,3.0,1
32.0,16.22,691.0,17.84,4.0,1
31.0,9.24,752.0,11.35,0.0,1
51.0,10.79,789.0,28.58,3.0,0
57.0,18.85,550.0,14.64,0.0,1
56.0,18.74,495.0,17.54,1.0,1
21.0,24.63,518.0,10.88,2.0,1
43.0,12.61,742.0,12.49,3.0,1
60.0,23.03,637.0,6.94,1.0,1
59.0,23.65,829.0,29.29,2.0,1
43.0,18.4,484.0,20.48,1.0,1
53.0,16.78,541.0,6.77,2.0,1
43.0,8.93,589.0,4.8,1.0,1
53.0,1.97,604.0,3.69,4.0,0
31.0,-5.0,822.0,9.01,1.0,1
24.0,19.15,646.0,5.34,1.0,1
34.0,4.91,635.0,13.48,3.0,0
31.0,5.97,841.0,18.14,0.0,0
39.0,24.51,526.0,3.55,3.0,1
,16.44,715.0,4.6,0.0,1
48.0,2.23,480.0,26.11,4.0,0
24.0,7.72,697.0,3.75,2.0,1
58.0,24.25,845.0,9.8,3.0,1
35.0,17.91,538.0,5.98,-2.0,1
41.0,10.09,808.0,29.27,1.0,0
39.0,23.81,752.0,5.42,3.0,1
26.0,21.1,454.0,15.27,2.0,1
22.0,19.32,605.0,19.0,1.0,1
64.0,20.21,662.0,6.79,0.0,1
29.0,21.93,,16.41,2.0,1
53.0,14.04,597.0,3.59,2.0,1
37.0,20.62,712.0,1.58,0.0,1
38.0,9.83,498.0,17.47,0.0,1
47.0,6.96,510.0,7.66,3.0,0
22.0,3.52,737.0,12.24,4.0,0
42.0,17.8,490.0,13.38,3.0,1
48.0,21.29,589.0,14.66,2.0,1
64.0,7.15,634.0,18.54,0.0,0
64.0,10.23,679.0,2.46,3.0,1
45.0,11.06,811.0,5.77,0.0,1
37.0,14.35,503.0,14.64,1.0,1
51.0,17.19,490.0,3.91,4.0,1
37.0,8.6,544.0,10.63,2.0,1
58.0,19.23,511.0,5.84,0.0,1
45.0,4.52,707.0,6.8,2.0,1
24.0,4.02,831.0,28.59,1.0,0
32.0,17.9,834.0,25.39,4.0,1
46.0,14.89,615.0,19.27,2.0,1
56.0,8.53,481.0,15.07,1.0,0
58.0,6.3,471.0,16.56,4.0,0
24.0,5.79,637.0,23.93,0.0,0
60.0,3.98,742.0,26.67,1.0,0
56.0,17.91,475.0,28.92,0.0,1
53.0,14.63,833.0,7.33,0.0,1
50.0,18.6,671.0,20.89,3.0,1
30.0,8.68,845.0,13.55,2.0,1
25.0,14.64,678.0,18.96,2.0,1
21.0,11.39,625.0,2.23,2.0,1
35.0,16.72,563.0,9.31,1.0,1
43.0,2.91,769.0,18.83,3.0,0
41.0,6.64,672.0,9.03,4.0,0
48.0,24.03,755.0,17.4,2.0,1
39.0,13.02,537.0,5.38,1.0,1
50.0,9.11,626.0,25.96,3.0,0
42.0,22.48,509.0,9.51,4.0,1
46.0,2.39,672.0,27.41,4.0,0
23.0,8.47,578.0,13.85,4.0,0
23.0,10.56,671.0,25.54,0.0,0
33.0,24.27,493.0,10.49,0.0,1
30.0,22.56,758.0,13.11,2.0,1
30.0,2.82,748.0,6.41,1.0,1
52.0,2.75,835.0,12.59,1.0,0
21.0,8.08,684.0,24.13,4.0,0
39.0,16.73,777.0,9.77,1.0,1
26.0,19.81,672.0,16.23,2.0,1
41.0,9.78,782.0,27.75,3.0,0
44.0,19.02,804.0,4.17,0.0,1
40.0,2.57,725.0,5.22,3.0,0
34.0,4.81,482.0,19.54,0.0,0
57.0,17.98,533.0,16.41,0.0,1
37.0,2.26,537.0,17.07,2.0,0
63.0,5.04,568.0,20.39,0.0,0
26.0,1.51,646.0,16.48,1.0,0
21.0,23.85,720.0,10.22,2.0,1
42.0,7.03,832.0,24.22,3.0,0
51.0,19.78,765.0,20.22,4.0,1
22.0,7.09,683.0,4.13,1.0,1
25.0,17.39,746.0,27.63,-2.0,1
58.0,7.71,730.0,22.7,2.0,0
41.0,24.92,608.0,15.14,4.0,1
41.0,,526.0,21.83,2.0,0
39.0,10.02,489.0,7.15,2.0,1
56.0,15.65,669.0,6.97,2.0,1
57.0,21.97,661.0,5.97,0.0,1
39.0,16.82,792.0,,2.0,1
55.0,16.57,744.0,3.11,2.0,1
27.0,24.59,604.0,1.75,3.0,1
38.0,6.17,661.0,14.21,4.0,0
62.0,11.19,738.0,18.4,,1
63.0,3.98,835.0,13.57,0.0,0
41.0,21.81,584.0,18.69,1.0,1
38.0,14.32,781.0,20.67,1.0,1
52.0,17.62,732.0,28.32,0.0,1
56.0,12.82,521.0,13.77,4.0,1
52.0,17.6,788.0,16.02,4.0,1
22.0,18.15,483.0,22.84,0.0,1
48.0,6.92,539.0,29.33,4.0,0
46.0,13.28,849.0,18.48,1.0,1
64.0,18.05,533.0,29.65,0.0,1
25.0,9.58,570.0,20.11,4.0,0
42.0,13.81,621.0,12.08,4.0,1
38.0,10.91,529.0,1.04,4.0,1
32.0,6.62,484.0,6.31,0.0,1
46.0,11.01,767.0,8.8,0.0,1
36.0,11.76,496.0,4.96,0.0,1
50.0,6.8,462.0,27.16,4.0,0
56.0,4.92,693.0,21.45,2.0,0
38.0,4.12,599.0,24.64,1.0,0
33.0,19.05,484.0,1.1,4.0,1
61.0,24.69,469.0,19.49,1.0,1
43.0,21.4,522.0,17.32,4.0,1
22.0,18.73,677.0,14.49,3.0,1
59.0,9.81,556.0,10.83,3.0,1
63.0,18.8,508.0,18.64,3.0,1
26.0,,627.0,9.43,1.0,1
37.0,9.02,791.0,15.09,4.0,0
62.0,24.3,453.0,17.09,2.0,1
21.0,24.2,649.0,1.5,0.0,1
29.0,22.22,450.0,12.65,4.0,1
64.0,24.83,594.0,26.76,2.0,1
33.0,10.05,614.0,22.43,1.0,0
56.0,7.98,636.0,18.35,0.0,0
63.0,14.73,583.0,8.99,3.0,1
31.0,6.17,638.0,7.46,1.0,1
44.0,15.87,768.0,8.77,3.0,1
35.0,3.09,701.0,11.77,1.0,0
47.0,9.91,607.0,21.35,3.0,0
61.0,21.0,476.0,22.03,0.0,1
56.0,18.33,544.0,1.11,0.0,1
53.0,5.4,827.0,8.65,2.0,1
49.0,24.73,760.0,26.73,1.0,1
52.0,19.6,542.0,16.5,2.0,1
27.0,15.4,832.0,27.45,2.0,1
24.0,19.72,803.0,19.55,1.0,1
31.0,6.61,488.0,7.71,2.0,0
26.0,11.01,508.0,28.47,2.0,0
37.0,23.37,525.0,11.26,3.0,1
45.0,7.35,504.0,25.29,3.0,0
35.0,21.89,457.0,23.58,4.0,1
25.0,3.44,755.0,19.38,0.0,0
40.0,12.98,452.0,21.02,4.0,0
22.0,8.73,592.0,25.39,2.0,0
35.0,19.3,580.0,19.77,3.0,1
52.0,21.67,595.0,28.11,4.0,1
23.0,18.33,631.0,1.62,3.0,1
62.0,19.3,736.0,5.14,3.0,1
52.0,20.85,791.0,2.21,2.0,1
54.0,21.66,495.0,29.88,4.0,1
47.0,21.03,665.0,24.29,1.0,1
38.0,22.66,638.0,13.08,2.0,1
40.0,24.09,531.0,2.55,3.0,1
43.0,11.24,623.0,14.25,2.0,1
44.0,20.98,744.0,8.69,2.0,1
34.0,2.97,633.0,27.89,3.0,0
60.0,20.08,757.0,28.38,4.0,1
58.0,23.1,554.0,12.77,1.0,1
40.0,21.74,495.0,19.2,3.0,1
39.0,5.1,487.0,9.29,4.0,0
29.0,19.46,847.0,8.13,4.0,1
27.0,16.01,492.0,27.82,4.0,0
25.0,8.66,753.0,4.21,3.0,1
50.0,21.02,662.0,29.12,3.0,1
31.0,16.13,503.0,11.11,1.0,1
56.0,1.62,473.0,21.83,3.0,0
54.0,12.71,474.0,21.36,1.0,0
53.0,3.74,738.0,7.73,0.0,1
60.0,15.3,820.0,1.89,4.0,1
31.0,6.79,617.0,13.45,1.0,0
48.0,6.57,1000.0,8.04,2.0,1
44.0,24.9,610.0,18.9,3.0,1
36.0,11.42,717.0,1.62,4.0,1
61.0,19.97,583.0,5.33,1.0,1
38.0,13.98,657.0,28.71,1.0,0
24.0,13.08,757.0,24.52,1.0,1
61.0,23.09,568.0,16.18,0.0,1
63.0,16.53,617.0,4.61,2.0,1
60.0,22.15,726.0,21.75,4.0,1
37.0,10.54,824.0,20.35,2.0,1
62.0,2.67,666.0,26.71,2.0,0
29.0,8.92,642.0,20.31,2.0,0
56.0,11.94,800.0,2.95,0.0,1
26.0,5.78,509.0,21.75,1.0,0
55.0,4.24,692.0,22.51,2.0,0
52.0,9.91,527.0,15.67,2.0,0
39.0,21.25,648.0,25.53,1.0,1
62.0,11.36,559.0,22.04,3.0,0
53.0,5.0,462.0,11.21,4.0,0
59.0,17.13,815.0,26.44,0.0,1
43.0,13.3,657.0,24.2,0.0,1
45.0,23.25,511.0,4.04,3.0,1
26.0,12.46,722.0,12.51,0.0,1
26.0,13.52,543.0,19.04,4.0,0
24.0,18.94,738.0,2.92,4.0,1
49.0,2.79,655.0,20.28,2.0,0
53.0,6.05,525.0,27.61,3.0,0
37.0,16.82,1000.0,25.15,2.0,1
38.0,10.51,650.0,16.54,2.0,1
41.0,16.28,553.0,4.93,4.0,1
56.0,9.85,687.0,21.95,4.0,0
31.0,17.12,457.0,12.08,4.0,1
58.0,11.4,503.0,21.57,2.0,0
25.0,5.84,762.0,24.26,0.0,0
35.0,13.89,799.0,29.92,4.0,0
51.0,18.93,720.0,6.39,1.0,1
41.0,18.53,697.0,5.57,3.0,1
35.0,21.21,552.0,16.11,4.0,1
24.0,7.99,,15.41,3.0,0
60.0,14.36,459.0,14.87,1.0,1
45.0,24.99,848.0,14.82,1.0,1
28.0,8.34,598.0,17.47,1.0,0
38.0,7.15,502.0,1.07,4.0,1
46.0,24.01,719.0,9.41,2.0,1
